house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
10000000,9800000,200000,7,190,5,634,1964,38379,2024-09-24,Limhamn,55.5797531,12.9500196,0,9,2024
4650000,4595000,55000,4,100,69,777,1932,22495,2024-09-24,Videdal,55.5926852,13.0693752,0,9,2024
5000000,4595000,405000,3,149,30,559,1987,38574,2024-09-23,Virentofta,55.94535635,12.803571700000001,0,9,2024
7250000,7200000,50000,7,170,39,1005,1988,25685,2024-09-23,Riseberga,55.5966671,13.0865348,0,9,2024
5495000,5495000,0,4,101,84,634,1934,52360,2024-09-22,Kulladal,57.7205493690165,12.0055593049002,0,9,2024
8600000,8395000,205000,6,141,88,800,1964,44931,2024-09-21,Djupadal,55.5755672,12.9675052,0,9,2024
6100000,5975000,125000,3,106,115,589,1962,49550,2024-09-20,Djupadal,55.5722702,12.9493811947613,0,9,2024
4220000,4195000,25000,3,84,47,925,1925,43927,2024-09-19,Videdal,55.58575365,13.0655137,0,9,2024
3000000,3195000,-195000,5,117,20,526,1974,30800,2024-09-19,Oxie,55.5424417,13.103271868114,0,9,2024
6700000,6995000,-295000,8,200,60,728,1970,44500,2024-09-19,Kroksbäck,55.5777874,12.9784822155852,0,9,2024
5600000,5495000,105000,4,110,25,585,1962,37786,2024-09-19,Djupadal,55.5712409,12.94961985,0,9,2024
3995000,3995000,0,5,156,10,633,1966,5751,2024-09-19,Villastad,55.5758706,13.0653799648767,0,9,2024
7300000,7195000,105000,5,137,0,648,2011,42200,2024-09-19,Bunkeflostrand,55.5447811,12.9252671,1,9,2024
5000000,4800000,200000,4,112,112,792,1972,44940,2024-09-18,Eriksfält,55.57377725,13.0115351911484,0,9,2024
5250000,5295000,-45000,7,91,114,830,1963,46000,2024-09-16,Käglinge,55.53377705,13.07833135,0,9,2024
4000000,4295000,-295000,4,117,0,532,1975,53200,2024-09-15,Almvik,55.55381745,13.0210387523958,1,9,2024
6540000,6795000,-255000,5,145,0,329,2006,38600,2024-09-14,Bunkeflostrand,55.5499082,12.9269026,1,9,2024
6450000,6595000,-145000,6,154,0,722,2006,33077,2024-09-13,Bunkeflostrand,55.5499569,12.9245225,1,9,2024
6050000,6175000,-125000,4,98,0,516,2017,34200,2024-09-13,Bunkeflostrand,58.3785576,15.6995099156175,1,9,2024
12300000,11975000,325000,5,210,18,462,1969,41169,2024-09-13,Limhamn,59.85196945,17.6260715829715,0,9,2024
8000000,8150000,-150000,5,159,15,803,1985,31780,2024-09-12,Bunkeflostrand,55.5595624,12.911038651701,0,9,2024
4465000,4595000,-130000,5,152,70,1057,1930,68661,2024-09-12,Gullviksborg,55.5698073,13.02973965,0,9,2024
7700000,6995000,705000,9,188,65,630,1934,57300,2024-09-11,Sofielund,59.3186091,18.0702255,0,9,2024
6025000,4995000,1030000,5,110,110,764,1924,28450,2024-09-11,Videdal,55.5942387,13.06692825,0,9,2024
3235000,3195000,40000,4,98,98,741,1969,19629,2024-09-10,Oxie,55.54418625,13.1020821824138,0,9,2024
3600000,3495000,105000,6,117,52,313,1973,45075,2024-09-10,Oxie,55.5432238,13.1022510217668,0,9,2024
6950000,7495000,-545000,6,207,57,794,1999,48200,2024-09-10,Husie,55.5873876,13.099859585415,0,9,2024
